Name,Glass,Main Alcohol,Ingredients,Ingredients2,Ingredients3,Ingredients4,Ingredients5,Ingredients6,Ingredients7,Garnish,Alcoholicity,Taste(Sweet),Technique,Color,TPO,VideoLink,Tag,설명,ImageURL
White Bull,Old Fashioned,"Tequila, 45ml","Kahlua, 15ml","Cream, 30ml",,,,,,,3,3,Build,"Brown, White",No,https://www.youtube.com/watch?v=Q_YNkOpIFGM,화이트 불,,https://bartendingafterdark.files.wordpress.com/2013/01/white-bull1.jpg
Godfather,Old Fashioned,"Scotch, 45ml","Amaretto, 22.5ml",,,,,,,Orange Peel,4,2,Build,Brown,No,https://www.youtube.com/watch?v=6FMZ9FPTHYs,갓파더,,"https://www.liquor.com/thmb/230H2K-EP3N7R66MIops4MGnMFM=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2016__09__27104141__godfather-720x720-recipe-01c4412a5f97430581b3b87a4093439a.jpg"
Godmother,Old Fashioned,"Vodka, 45ml","Amaretto, 22.5ml",,,,,,,Orange Peel,4,2,Build,Brown,No,https://www.youtube.com/watch?v=pod2bwT764c,갓마더,,https://cdn.diffords.com/contrib/stock-images/2018/05/5af30573ed528.jpg
Godchild,Old Fashioned,"Brandy, 45ml","Amaretto, 22.5ml",,,,,,,Orange Peel,4,2,Build,Brown,No,https://www.youtube.com/watch?v=nu6S0NnDuV0,갓차일드,,https://lh3.googleusercontent.com/proxy/BpzasFR6rBo1M5U6Ij1LZUQdAs-0FWKtWBp2gZ3tt26QJQ8jqb6xmJnMpev7GqSVolgJCnxx2xX99eYjfpLbJzRm_w06AOI
Gimlet,Martini,"Gin, 45ml","Lime Juice, 15ml","Sugar, 1 Step",,,,,,Lime Slice,4,2,Shake,Green,No,https://www.youtube.com/watch?v=nCS8hqH9MnE,김렛,,"https://www.liquor.com/thmb/0z6Gyd4n_rUtVjy6Cl0El-jKm8A=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__01__10072454__gimlet-720x720-recipe-a0d317f2ce7b4818a0fdbd2bbaaaf2c9.jpg"
Vodka Gimlet,Martini,"Vodka, 45ml","Lime Juice, 15ml","Sugar, 1 Step",,,,,,Lime Slice,4,2,Shake,Green,No,https://www.youtube.com/watch?v=etTO6kDSwG0,보드카 김렛,,https://www.liquor.com/thmb/LUOv-A1IgpS8DkD21f9oml5TXyI=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__09__12092910__Vodka-Gimlet-720x720-recipe-e0aad3b18d514bd99faceb8b57f5d446.jpg
Rusty Nail,Old Fashioned,"Scotch, 30ml","Drambuie, 15ml",,,,,,,,4,2,Build,Brown,Yes,https://www.youtube.com/watch?v=_VYBF1Di6PM,러스티 네일,,https://www.liquor.com/thmb/nyEtqr6SumdWU_L1kYVaLvhvLoE=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__04__12085746__rusty-nail-720x720-recipe-5cbb2c3e885b46fcabda7670bcfcf67c.jpg
Stinger,Old Fashioned,"Brandy, 90ml","Creme de Menthe, 30ml",,,,,,,,3,2,Build,Brown,No,https://www.youtube.com/watch?v=aM-ka2HMofg,스팅어,,https://www.liquor.com/thmb/J-prn8kk14SP74_3cEi0j-P3LWo=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/stinger-720x720-primary-4eb90bfa30454bf2a670653f75188c04.jpg
Whiskey Sour,Sour,"Bourbon, 45ml","Lemon Juice, 15ml","Sugar, 1 Step","Soda, 30ml",,,,,Lemon Slice and Maraschino cherry,3,2,Shake and Build,Brown,Yes,https://www.youtube.com/watch?v=OO4aPgwE0-c,위스키 사워,,https://www.liquor.com/thmb/1ReOjLVpYXjX2RBzswtDWaur_aA=/720x720/smart/filters:no_upscale()/whiskey-sour-720x720-primary-v2-4fc831b613964da5a19cdbfda917d7df.jpg
Daiquiri,Cocktail stemmed,"Light Rum, 52.5ml","Lime Juice, 22.5ml","Sugar, 1 Step",,,,,,,3,2,Build,Green,Yes,https://www.youtube.com/watch?v=YxV_oOJYtVs,다이키리,,https://www.liquor.com/thmb/Nf13-yE6MXge88kgj6t6clnLgko=/720x540/smart/filters:no_upscale()/__opt__aboutcom__coeus__resources__content_migration__liquor__2018__04__23143458__daiquiri-720x720-recipe-09f1d5665a794eddbbfb997876736136.jpg
